store_name,order_local_timezone,order_referenceid,finished_order_status,delivery_type,order_create_date,order_create_datetime,order_accepted_datetime,order_marked_ready_for_pickup,courier_arrive_datetime,courier_pickup_datetime,order_delivered_datetime,reject_reason,order_total_gross,order_total_net
Tibi Foods - Surulere,Africa/Lagos,789727,rejected,delivery,23/12/30,23/06/19 13:08,,,,,,duplicated order ,7500,7500
Tibi Foods - Surulere,Africa/Lagos,951904,rejected,delivery,23/12/30,23/07/26 9:22,23/07/26 9:25,,,,,Out of stock ,2500,2500
Tibi Foods - Surulere,Africa/Lagos,1012525,rejected,delivery,23/12/30,23/08/05 13:48,23/08/05 13:51,,,,,the order is not available at the moment,7000,7000
Tibi Foods - Surulere,Africa/Lagos,1017751,rejected,delivery,23/12/30,23/08/06 11:12,23/08/06 11:15,23/08/06 11:38,23/08/06 11:43,,,Out of stock ,13700,13700
Tibi Foods - Surulere,Africa/Lagos,1280507,rejected,delivery,23/12/30,23/08/27 19:07,23/08/27 19:07,23/08/27 19:39,23/08/27 20:40,,,we cannot deliver to your location at the moment ,5500,5500
Tibi Foods - Surulere,Africa/Lagos,1354913,rejected,delivery,23/12/30,23/08/31 20:35,23/08/31 20:36,23/08/31 20:59,,,,the vendor has closed for the day,2500,2500
Tibi Foods - Surulere,Africa/Lagos,1448287,rejected,delivery,23/12/30,23/09/08 9:26,23/09/08 10:02,,,,,"the customer wanted to cancel, duplicate order",6500,6500
Tibi Foods - Surulere,Africa/Lagos,1720096,rejected,delivery,23/12/30,23/10/04 20:47,23/10/04 20:51,,,,,"We'll be closing for the day soon, thank you.",6200,6200
Tibi Foods - Surulere,Africa/Lagos,1780262,rejected,delivery,23/12/30,23/10/11 11:02,23/10/11 11:03,,,,,Out of stock ,4700,4700
Tibi Foods - Surulere,Africa/Lagos,1798348,rejected,delivery,23/12/30,23/10/12 19:03,23/10/12 19:03,,,,,Out of stock ,2000,2000
Tibi Foods - Surulere,Africa/Lagos,2043040,rejected,delivery,23/12/30,23/11/03 17:32,23/11/03 17:33,,,,,Duplicate ,7000,7000
Tibi Foods - Surulere,Africa/Lagos,2114846,rejected,delivery,23/12/30,23/11/09 14:08,,,,,,,4200,4200
Tibi Foods - Surulere,Africa/Lagos,2412265,rejected,delivery,23/12/30,23/12/01 12:51,23/12/01 12:52,,,,,Out of stock ,3500,3500
Tibi Foods - Surulere,Africa/Lagos,2844875,rejected,delivery,23/12/30,23/12/29 16:07,23/12/29 16:08,23/12/29 16:29,23/12/29 16:31,,,the order is not available at the moment,3500,3500
Tibi Foods - Surulere,Africa/Lagos,2849084,rejected,delivery,23/12/30,23/12/29 19:48,,,,,,,16000,16000
Tibi Foods - Surulere,Africa/Lagos,2849128,rejected,delivery,23/12/30,23/12/29 19:50,23/12/29 19:54,23/12/29 20:20,23/12/29 20:27,,,Out of stock ,16000,16000
Tibi Foods - Surulere,Africa/Lagos,2864486,rejected,delivery,23/12/30,23/12/30 20:27,23/12/30 20:29,,,,,Out of stock ,2800,2800
Tibi Foods - Surulere,Africa/Lagos,715235,success,delivery,23/12/30,23/06/01 14:21,23/06/01 14:23,23/06/01 14:27,23/06/01 14:31,23/06/01 14:41,23/06/01 14:51,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,717089,success,delivery,23/12/30,23/06/01 18:56,23/06/01 18:58,23/06/01 19:14,23/06/01 19:19,23/06/01 19:31,23/06/01 19:46,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,717175,success,delivery,23/12/30,23/06/01 19:11,23/06/01 19:12,23/06/01 19:29,23/06/01 19:30,23/06/01 19:43,23/06/01 20:47,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,720640,success,delivery,23/12/30,23/06/02 15:52,23/06/02 15:53,23/06/02 16:03,23/06/02 16:07,23/06/02 16:16,23/06/02 16:34,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,720890,success,delivery,23/12/30,23/06/02 16:28,23/06/02 16:29,23/06/02 16:38,23/06/02 16:41,23/06/02 16:46,23/06/02 17:02,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,721348,success,delivery,23/12/30,23/06/02 17:45,23/06/02 17:53,23/06/02 18:14,23/06/02 18:21,23/06/02 18:34,23/06/02 18:45,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,721708,success,delivery,23/12/30,23/06/02 18:41,23/06/02 18:44,23/06/02 19:05,23/06/02 19:08,23/06/02 19:13,23/06/02 19:37,,8600,8600
Tibi Foods - Surulere,Africa/Lagos,721950,success,delivery,23/12/30,23/06/02 19:14,23/06/02 19:15,23/06/02 19:23,23/06/02 19:32,23/06/02 19:33,23/06/02 19:50,,6400,6400
Tibi Foods - Surulere,Africa/Lagos,722002,success,delivery,23/12/30,23/06/02 19:22,23/06/02 19:23,23/06/02 19:27,23/06/02 19:28,23/06/02 19:36,23/06/02 19:42,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,722348,success,delivery,23/12/30,23/06/02 20:14,23/06/02 20:15,23/06/02 20:18,23/06/02 20:20,23/06/02 20:29,23/06/02 20:43,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,722443,success,delivery,23/12/30,23/06/02 20:38,23/06/02 20:40,23/06/02 21:05,23/06/02 21:12,23/06/02 21:12,23/06/02 21:35,,8200,8200
Tibi Foods - Surulere,Africa/Lagos,722446,success,delivery,23/12/30,23/06/02 20:39,23/06/02 20:40,23/06/02 21:05,23/06/02 21:07,23/06/02 21:10,23/06/02 21:23,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,725772,success,delivery,23/12/30,23/06/03 19:13,23/06/03 19:14,23/06/03 19:41,23/06/03 19:48,23/06/03 19:57,,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,726073,success,delivery,23/12/30,23/06/03 20:00,23/06/03 20:01,23/06/03 20:20,23/06/03 20:29,23/06/03 20:34,23/06/03 20:48,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,726190,success,delivery,23/12/30,23/06/03 20:24,23/06/03 20:25,23/06/03 20:53,23/06/03 20:55,23/06/03 21:30,23/06/03 21:46,,10000,10000
Tibi Foods - Surulere,Africa/Lagos,726464,success,delivery,23/12/30,23/06/04 9:18,23/06/04 9:19,23/06/04 9:24,23/06/04 9:34,23/06/04 9:36,23/06/04 9:57,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,726588,success,delivery,23/12/30,23/06/04 10:18,23/06/04 10:19,23/06/04 10:47,23/06/04 11:00,23/06/04 11:12,23/06/04 11:42,,6800,6800
Tibi Foods - Surulere,Africa/Lagos,726679,success,delivery,23/12/30,23/06/04 10:47,23/06/04 10:48,23/06/04 10:56,23/06/04 11:01,23/06/04 11:12,23/06/04 11:13,,4900,4900
Tibi Foods - Surulere,Africa/Lagos,727226,success,delivery,23/12/30,23/06/04 12:36,23/06/04 12:38,23/06/04 12:47,23/06/04 12:58,23/06/04 12:59,23/06/04 13:15,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,728747,success,delivery,23/12/30,23/06/04 16:57,23/06/04 16:58,23/06/04 17:01,23/06/04 17:05,23/06/04 17:15,23/06/04 17:28,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,729164,success,delivery,23/12/30,23/06/04 18:24,23/06/04 18:25,23/06/04 18:32,23/06/04 18:39,23/06/04 18:49,23/06/04 19:10,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,729256,success,delivery,23/12/30,23/06/04 18:40,23/06/04 18:41,23/06/04 18:46,23/06/04 18:47,23/06/04 19:00,23/06/04 19:16,,6400,6400
Tibi Foods - Surulere,Africa/Lagos,731428,success,delivery,23/12/30,23/06/05 14:42,23/06/05 14:43,23/06/05 14:49,23/06/05 14:57,23/06/05 15:18,23/06/05 15:34,,7700,7700
Tibi Foods - Surulere,Africa/Lagos,731719,success,delivery,23/12/30,23/06/05 15:31,23/06/05 15:37,23/06/05 15:53,23/06/05 15:58,23/06/05 15:58,23/06/05 16:04,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,732114,success,delivery,23/12/30,23/06/05 16:51,23/06/05 16:52,23/06/05 17:08,23/06/05 17:16,23/06/05 17:25,23/06/05 17:26,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,734055,success,delivery,23/12/30,23/06/06 10:47,23/06/06 10:47,23/06/06 11:14,23/06/06 11:17,23/06/06 11:35,23/06/06 11:47,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,734431,success,delivery,23/12/30,23/06/06 11:37,23/06/06 11:48,23/06/06 12:09,23/06/06 12:14,23/06/06 12:17,23/06/06 12:31,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,734819,success,delivery,23/12/30,23/06/06 12:33,23/06/06 12:34,23/06/06 12:48,23/06/06 12:57,23/06/06 13:03,23/06/06 13:21,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,736469,success,delivery,23/12/30,23/06/06 17:00,23/06/06 17:04,23/06/06 17:26,23/06/06 17:38,23/06/06 17:44,23/06/06 17:58,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,736476,success,delivery,23/12/30,23/06/06 17:01,23/06/06 17:02,23/06/06 17:23,23/06/06 17:36,23/06/06 17:39,23/06/06 17:51,,4900,4900
Tibi Foods - Surulere,Africa/Lagos,738280,success,delivery,23/12/30,23/06/07 10:16,23/06/07 10:19,23/06/07 10:47,23/06/07 10:50,23/06/07 10:53,23/06/07 11:08,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,740126,success,delivery,23/12/30,23/06/07 14:43,23/06/07 14:44,23/06/07 14:49,23/06/07 14:56,23/06/07 15:00,23/06/07 15:11,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,740552,success,delivery,23/12/30,23/06/07 15:43,23/06/07 15:44,23/06/07 15:47,23/06/07 15:54,23/06/07 15:58,23/06/07 16:17,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,742204,success,delivery,23/12/30,23/06/07 20:36,23/06/07 20:38,23/06/07 20:59,23/06/07 21:13,23/06/07 21:14,23/06/07 21:34,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,743594,success,delivery,23/12/30,23/06/08 12:44,23/06/08 12:45,23/06/08 13:11,23/06/08 13:16,23/06/08 13:20,23/06/08 13:35,,7000,7000
Tibi Foods - Surulere,Africa/Lagos,745241,success,delivery,23/12/30,23/06/08 16:20,23/06/08 16:21,23/06/08 16:41,23/06/08 16:45,23/06/08 17:06,23/06/08 17:07,,7100,7100
Tibi Foods - Surulere,Africa/Lagos,745260,success,delivery,23/12/30,23/06/08 16:24,23/06/08 16:27,23/06/08 16:50,23/06/08 16:55,23/06/08 17:18,23/06/08 17:40,,5600,5600
Tibi Foods - Surulere,Africa/Lagos,747170,success,delivery,23/12/30,23/06/09 10:25,23/06/09 10:28,23/06/09 10:43,23/06/09 10:46,23/06/09 10:51,23/06/09 11:03,,5800,5800
Tibi Foods - Surulere,Africa/Lagos,747268,success,delivery,23/12/30,23/06/09 10:42,23/06/09 10:44,23/06/09 11:00,23/06/09 11:19,23/06/09 11:21,23/06/09 11:36,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,747357,success,delivery,23/12/30,23/06/09 11:00,23/06/09 11:00,23/06/09 11:04,23/06/09 11:14,23/06/09 11:21,23/06/09 11:34,,5800,5800
Tibi Foods - Surulere,Africa/Lagos,749410,success,delivery,23/12/30,23/06/09 16:07,23/06/09 16:08,23/06/09 16:11,23/06/09 16:40,23/06/09 16:42,23/06/09 17:24,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,749870,success,delivery,23/12/30,23/06/09 17:32,23/06/09 17:34,23/06/09 17:41,23/06/09 17:45,23/06/09 17:50,23/06/09 18:03,,5000,5000
Tibi Foods - Surulere,Africa/Lagos,750686,success,delivery,23/12/30,23/06/09 20:02,23/06/09 20:03,23/06/09 20:26,23/06/09 20:26,23/06/09 20:34,23/06/09 20:47,,5800,5800
Tibi Foods - Surulere,Africa/Lagos,750905,success,delivery,23/12/30,23/06/09 20:47,23/06/09 20:47,23/06/09 21:01,23/06/09 21:17,23/06/09 21:22,23/06/09 21:49,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,752337,success,delivery,23/12/30,23/06/10 12:09,23/06/10 12:09,23/06/10 12:35,23/06/10 12:53,23/06/10 12:59,23/06/10 13:23,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,753998,success,delivery,23/12/30,23/06/10 14:55,23/06/10 14:56,23/06/10 15:03,23/06/10 15:10,23/06/10 15:17,23/06/10 15:31,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,755812,success,delivery,23/12/30,23/06/10 18:00,23/06/10 18:04,23/06/10 18:20,23/06/10 18:27,23/06/10 18:29,23/06/10 18:40,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,756265,success,delivery,23/12/30,23/06/10 19:29,23/06/10 19:30,23/06/10 19:46,23/06/10 19:48,23/06/10 20:23,23/06/10 20:58,,4500,4500
Tibi Foods - Surulere,Africa/Lagos,756356,success,delivery,23/12/30,23/06/10 19:45,23/06/10 19:46,23/06/10 20:00,23/06/10 20:16,23/06/10 20:19,23/06/10 20:53,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,758037,success,delivery,23/12/30,23/06/11 13:37,23/06/11 13:38,23/06/11 14:05,23/06/11 14:13,23/06/11 14:24,23/06/11 14:39,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,759060,success,delivery,23/12/30,23/06/11 16:32,23/06/11 16:33,23/06/11 16:35,23/06/11 16:42,23/06/11 16:47,23/06/11 16:53,,3900,3900
Tibi Foods - Surulere,Africa/Lagos,759730,success,delivery,23/12/30,23/06/11 18:54,23/06/11 18:55,23/06/11 19:06,23/06/11 19:25,23/06/11 19:30,23/06/11 19:45,,3100,3100
Tibi Foods - Surulere,Africa/Lagos,760000,success,delivery,23/12/30,23/06/11 19:46,23/06/11 19:47,23/06/11 19:52,23/06/11 19:58,23/06/11 20:05,23/06/11 20:19,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,762147,success,delivery,23/12/30,23/06/12 15:39,23/06/12 15:40,23/06/12 16:02,23/06/12 16:03,23/06/12 16:16,23/06/12 16:27,,6200,6200
Tibi Foods - Surulere,Africa/Lagos,762934,success,delivery,23/12/30,23/06/12 18:13,23/06/12 18:13,23/06/12 18:18,23/06/12 18:25,23/06/12 18:37,23/06/12 18:52,,4100,4100
Tibi Foods - Surulere,Africa/Lagos,763291,success,delivery,23/12/29,23/06/12 19:27,23/06/12 19:31,23/06/12 19:41,23/06/12 19:47,23/06/12 19:50,23/06/12 20:08,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,763304,success,delivery,23/12/29,23/06/12 19:29,23/06/12 19:30,23/06/12 19:41,23/06/12 19:50,23/06/12 19:54,23/06/12 20:06,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,763642,success,delivery,23/12/29,23/06/12 20:52,23/06/12 20:55,23/06/12 21:09,23/06/12 21:13,23/06/12 21:16,23/06/12 21:30,,3000,3000
Tibi Foods - Surulere,Africa/Lagos,763874,success,delivery,23/12/29,23/06/13 9:22,23/06/13 9:24,23/06/13 9:26,23/06/13 9:29,23/06/13 9:42,23/06/13 10:08,,5200,5200
Tibi Foods - Surulere,Africa/Lagos,764167,success,delivery,23/12/29,23/06/13 10:49,23/06/13 10:50,23/06/13 11:16,23/06/13 11:23,23/06/13 11:27,23/06/13 11:41,,3400,3400
Tibi Foods - Surulere,Africa/Lagos,765236,success,delivery,23/12/29,23/06/13 13:25,23/06/13 13:29,23/06/13 13:35,23/06/13 13:38,23/06/13 13:42,23/06/13 13:50,,2200,2200
Tibi Foods - Surulere,Africa/Lagos,765308,success,delivery,23/12/29,23/06/13 13:33,23/06/13 13:36,23/06/13 13:39,23/06/13 13:47,23/06/13 13:51,23/06/13 13:58,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,766648,success,delivery,23/12/29,23/06/13 17:07,23/06/13 17:08,23/06/13 17:29,23/06/13 17:33,23/06/13 17:42,23/06/13 17:59,,4700,4700
Tibi Foods - Surulere,Africa/Lagos,767360,success,delivery,23/12/29,23/06/13 19:22,23/06/13 19:23,23/06/13 19:28,23/06/13 19:32,23/06/13 19:57,23/06/13 20:10,,5000,5000
Tibi Foods - Surulere,Africa/Lagos,767668,success,delivery,23/12/29,23/06/13 20:29,23/06/13 20:30,23/06/13 20:33,23/06/13 20:42,23/06/13 21:06,23/06/13 21:06,,5600,5600
Tibi Foods - Surulere,Africa/Lagos,768918,success,delivery,23/12/29,23/06/14 12:35,23/06/14 12:36,23/06/14 13:02,23/06/14 13:07,23/06/14 13:13,23/06/14 13:29,,7200,7200
Tibi Foods - Surulere,Africa/Lagos,769466,success,delivery,23/12/29,23/06/14 14:07,23/06/14 14:08,23/06/14 14:27,23/06/14 14:28,23/06/14 14:38,23/06/14 14:48,,2500,2500
Tibi Foods - Surulere,Africa/Lagos,771467,success,delivery,23/12/29,23/06/14 20:19,23/06/14 20:20,23/06/14 20:29,23/06/14 20:34,23/06/14 20:57,23/06/14 21:00,,3000,3000
